Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt,1050550800,23111,3398998,109059591,54893, 2856, 62926, 1874, 35345, 1963, 1919, 7642423, 242630, 10812057, 189373, 4527608, 189522, 189373, 248202360, 6145357, 341472547, 4747144, 152671736, 5030534, 5147461, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt ALIGNED ,1087659029,23965,3572290,112272722,49716, 3124, 68817, 2186, 39451, 2231, 2231, 7636993, 243560, 11238186, 193427, 5313257, 190564, 190043, 264179843, 6033786, 362030261, 4771689, 137532378, 6640734, 4720366, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt,1060310636,22320,3479664,109493763,49939, 2543, 62614, 1963, 35211, 1963, 2008, 8022361, 241254, 10914108, 189374, 4600426, 194580, 195547, 253089637, 6254697, 358192649, 4813193, 134276276, 4952881, 4877013, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt ALIGNED ,1073289533,22237,3698488,108722837,49225, 2499, 63104, 2008, 34899, 1919, 2008, 7608505, 244899, 12725248, 200642, 4721035, 195808, 193278, 256811216, 6137324, 351666610, 4941278, 131793588, 4893079, 4816764, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt,1122501919,30710,3847149,113884516,73101, 4016, 78501, 1919, 52706, 1919, 2811, 8714178, 249734, 12319573, 283503, 4933802, 214700, 214552, 259672801, 6474270, 373659580, 7751541, 139866453, 4895311, 4871657, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt ALIGNED ,1052192700,22550,3444711,108751207,49805, 2499, 63640, 1919, 35970, 2053, 1963, 7617208, 242035, 11184520, 191419, 4494992, 189857, 192944, 264689501, 6105637, 341813956, 4860500, 132520587, 4916286, 6351988, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt,1052196711,27236,3513810,107875722,76404, 2588, 66675, 2186, 38514, 2231, 2052, 7949170, 244899, 11181731, 204621, 4630625, 194171, 191456, 253716223, 6041819, 344252462, 4871211, 136089090, 5213959, 4945295, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt ALIGNED ,1045616665,22594,3412966,108192266,50787, 2633, 63595, 1963, 35256, 1963, 1963, 7752395, 239320, 10827342, 189783, 4502578, 189597, 189745, 247910936, 6217209, 355016432, 4823458, 133752336, 4751160, 4874335, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt,1055029726,25023,3402632,109636702,68147, 2588, 62926, 1919, 35345, 2231, 2008, 7717808, 239134, 10764453, 195956, 4521025, 190043, 190006, 248997195, 6104745, 352917995, 4730631, 144872889, 4962253, 4871211, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt ALIGNED ,956342970,22008,3144068,98671521,55027, 2365, 58909, 1651, 32534, 1785, 1785, 7368180, 215779, 9778161, 171187, 4125950, 178142, 171076, 223974836, 5466110, 315458094, 4602993, 131870348, 4557918, 4770350, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt,994570926,24392,3276971,102513979,57794, 2454, 63506, 1874, 41013, 1963, 2142, 7406709, 232180, 10476078, 169848, 4304539, 177510, 171931, 236959079, 6318070, 328897995, 4553901, 131737802, 4686003, 4445008, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt ALIGNED ,934868574,27344,3063789,96513729,53509, 3257, 74887, 2633, 51679, 2588, 2856, 6968829, 215630, 9696528, 171596, 4058486, 167580, 167877, 228140469, 5357662, 304718670, 4460628, 123963054, 4368247, 4587373, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt,916529357,19815,3031636,94354980,44405, 2231, 55607, 1695, 31195, 1829, 1740, 6922043, 211390, 9585329, 169737, 3997754, 167692, 167506, 217951762, 5292951, 303544045, 4345039, 120679729, 4451255, 4220080, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt ALIGNED ,952178235,19961,3031779,99444488,45030, 2276, 56098, 1695, 31284, 1740, 1606, 6684172, 217266, 9677933, 167989, 4013523, 228461, 233110, 224064986, 5622310, 314143783, 7558298, 135749912, 4710548, 4261585, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt,935198390,19878,3097256,96233907,44851, 2231, 55651, 1740, 31239, 1695, 1740, 7231654, 211390, 9624788, 169216, 4107020, 168435, 168286, 229057141, 5424606, 305842418, 4334775, 119988878, 4793557, 4195980, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt ALIGNED ,937174101,20509,3042607,97165625,44003, 2231, 58865, 1829, 32801, 1919, 1919, 6702991, 217564, 9824389, 170853, 4043350, 169030, 170072, 223757495, 5716923, 318892264, 4633341, 118652253, 4220079, 4287023, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt,937721699,20573,3099519,96560270,48511, 2231, 56589, 1785, 31463, 1740, 1696, 6837658, 227977, 9871881, 173270, 4233803, 177324, 174721, 219934164, 7409238, 315403648, 4440991, 120265129, 4292378, 4176344, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt ALIGNED ,987357607,19706,3152733,103021215,43379, 2231, 55741, 1695, 31552, 1606, 1740, 6800690, 212394, 10251708, 168287, 4276125, 179072, 180857, 216948065, 6215424, 348792529, 4835508, 134112490, 4957790, 5286703, 
