Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
timSort_Rusev_With_Checks_imprMerge ALIGNED ,967280095,20414,3223533,99296321,46771, 2454, 67121, 1829, 21064, 1874, 1785, 7415449, 248469, 11191846, 190749, 3137389, 190489, 190340, 234958379, 6064133, 344592978, 4781954, 95077199, 4787755, 4811855, 
timSort_Rusev_With_Checks_imprMerge,1004904241,20860,3448945,101961796,48421, 2544, 67567, 2231, 21422, 2053, 1785, 7736143, 259292, 12006616, 218010, 3501001, 211204, 210349, 248542430, 6331012, 347037733, 4740449, 97501870, 4817657, 4761424, 
timSort_Rusev_With_Checks_imprMerge ALIGNED ,979021437,20395,3256484,100578437,47083, 2543, 66675, 2008, 20573, 2008, 1874, 7552980, 239730, 11271136, 189522, 3162344, 190117, 189560, 245832582, 6012364, 344671525, 4776152, 92982332, 4904682, 4869425, 
timSort_Rusev_With_Checks_imprMerge,976527139,23449,3273570,99986534,67612, 2543, 67166, 2008, 20841, 2008, 1963, 7450297, 242854, 11416849, 192460, 3229399, 192423, 190712, 235981713, 6143126, 348894282, 4777044, 94540763, 4783292, 4785524, 
timSort_Rusev_With_Checks_imprMerge ALIGNED ,984376424,20567,3269400,101186725,46904, 2499, 67835, 2008, 20796, 2008, 1919, 7478152, 350743, 11238074, 267474, 3149700, 212246, 189411, 248198344, 6027984, 344313603, 5071593, 94954024, 4848450, 4893079, 
timSort_Rusev_With_Checks_imprMerge,993656494,23321,3397372,100949237,67255, 2454, 66943, 1918, 20707, 1963, 2008, 7772664, 248023, 11906462, 195175, 3267965, 196291, 195026, 234359464, 6063686, 357005529, 4765888, 94929477, 4723936, 4796681, 
timSort_Rusev_With_Checks_imprMerge ALIGNED ,969083987,20554,3230137,99473369,46949, 2499, 67835, 1919, 20841, 1874, 1963, 7420358, 239655, 11227847, 189597, 3152787, 190006, 190712, 232620734, 6262730, 344881725, 4740449, 98299383, 4748036, 4760532, 
timSort_Rusev_With_Checks_imprMerge,977268873,24807,3282289,99974293,76314, 2499, 67746, 1918, 21154, 2008, 2008, 7423891, 239767, 11532660, 190303, 3209613, 190378, 189411, 234757997, 6177043, 349469545, 4755176, 94923230, 4793557, 4943509, 
timSort_Rusev_With_Checks_imprMerge ALIGNED ,997486066,20497,3366977,101889307,47663, 2499, 66853, 1963, 20618, 1874, 2008, 7784862, 323445, 11277868, 233258, 3546485, 212134, 190787, 238820092, 6048959, 348791636, 4793111, 104816943, 4978320, 4976088, 
timSort_Rusev_With_Checks_imprMerge,1000589103,20529,3236523,103897720,46860, 2543, 67433, 1963, 21109, 1829, 1963, 7393842, 241143, 11270727, 189969, 3180010, 190415, 189559, 251964997, 6134200, 359475275, 4756961, 95213762, 4859161, 4879690, 
timSort_Rusev_With_Checks_imprMerge ALIGNED ,1003345358,20407,3212987,104575119,47172, 2588, 66452, 1874, 20886, 1918, 1963, 7363196, 244304, 11183925, 189634, 3130919, 189485, 189448, 249909404, 6011471, 367378552, 4725722, 94261388, 4852913, 4886384, 
