Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
svpv_stl_isort_RusevMerge,1026780724,22307,3392086,105754844,50117, 2633, 70022, 2097, 27312, 2008, 1963, 7663101, 240771, 11517300, 193204, 3749842, 189708, 190675, 247633792, 6166333, 360063926, 4789541, 112061056, 4757854, 4811409, 
svpv_stl_isort_RusevMerge ALIGNED ,1025095551,22288,3381109,105646014,49805, 2543, 70200, 1918, 27491, 1919, 2142, 7639187, 239395, 11479887, 192832, 3734669, 190824, 190973, 248881161, 6011472, 358450157, 4798466, 111850409, 4783739, 4746697, 
svpv_stl_isort_RusevMerge,1034178809,22237,3400167,106715443,50207, 2588, 69754, 1963, 27134, 2008, 2008, 7671506, 241403, 11579334, 190601, 3736305, 190638, 191382, 249691170, 6051637, 360875274, 4781062, 113576643, 5024287, 7008028, 
svpv_stl_isort_RusevMerge ALIGNED ,1028326653,22703,3373416,106195774,51679, 2499, 70959, 2052, 27714, 2008, 2008, 7644282, 242110, 11448498, 190415, 3706627, 190601, 191382, 247902456, 6019951, 362854105, 4755176, 112066411, 4914946, 4857376, 
svpv_stl_isort_RusevMerge,1033737428,26216,3455427,105949488,78948, 2633, 68817, 2097, 26955, 2097, 1963, 7790515, 246758, 11688265, 196477, 3870377, 198113, 197481, 250911762, 6151158, 357185828, 4744912, 113044670, 4780615, 4827474, 
svpv_stl_isort_RusevMerge ALIGNED ,1023206858,22027,3363741,105587231,49537, 2588, 69263, 1919, 26821, 2052, 2008, 7627398, 239283, 11396617, 193316, 3707668, 192014, 189894, 248782085, 6058331, 357692363, 4758747, 112268578, 4753391, 4797127, 
svpv_stl_isort_RusevMerge,1032511930,28970,3406760,106330871,96442, 2588, 69709, 2097, 27892, 2097, 1963, 7838863, 240957, 11457461, 191307, 3735673, 192423, 190638, 250076761, 6236846, 360339284, 4881029, 113095546, 4806053, 4880583, 
svpv_stl_isort_RusevMerge ALIGNED ,1025580216,22212,3399593,105494213,50251, 2543, 69442, 2097, 26955, 2053, 2142, 7723275, 243448, 11486432, 189969, 3764868, 195659, 193502, 246608227, 5996744, 359785443, 4917624, 111604951, 4775259, 4771243, 
svpv_stl_isort_RusevMerge,1036640075,28798,3404954,106944004,96130, 2454, 69888, 1874, 27178, 2053, 2008, 7878025, 239469, 11413353, 191642, 3730727, 191605, 189857, 247225440, 6177490, 367207624, 4775260, 113513270, 4993493, 4715457, 
svpv_stl_isort_RusevMerge ALIGNED ,1042548460,21963,3384324,108103965,49627, 2454, 68817, 1963, 26777, 2097, 2008, 7786053, 241329, 11391745, 190638, 3699115, 189857, 191530, 252754477, 6018612, 366366376, 4759193, 117240650, 4760532, 4827921, 
svpv_stl_isort_RusevMerge,1045179752,23997,3503434,107030202,61632, 2633, 70066, 2097, 26866, 2365, 2320, 7661427, 345239, 11829998, 263940, 4006680, 208378, 208378, 248725854, 5991389, 365291273, 4760979, 114732077, 4915394, 4794450, 
svpv_stl_isort_RusevMerge ALIGNED ,1026490641,22110,3355437,106155162,49448, 2499, 68951, 2097, 27759, 2008, 2008, 7606980, 238874, 11375642, 189485, 3697441, 190117, 189522, 254024160, 6057439, 356406166, 4749375, 112143618, 4875674, 4829706, 
svpv_stl_isort_RusevMerge,1027290832,23315,3374038,106034218,59847, 2588, 68192, 1918, 26777, 1919, 1963, 7649675, 240436, 11429605, 192907, 3723661, 191307, 190675, 249340389, 6039141, 359112890, 4815871, 113362425, 4818549, 4750267, 
svpv_stl_isort_RusevMerge ALIGNED ,1021180279,22327,3371360,105203298,49716, 2543, 69442, 2008, 27982, 2588, 2008, 7639634, 241403, 11434923, 190266, 3711574, 190750, 190973, 248345619, 6102514, 356394117, 4906021, 111138136, 4797127, 4739556, 
svpv_stl_isort_RusevMerge,1024349814,22199,3378363,105573333,51992, 2454, 68192, 1963, 26822, 1919, 2053, 7657968, 241068, 11441878, 191307, 3734037, 190824, 191456, 247311128, 6035571, 358650985, 4739110, 112669344, 4760086, 4847111, 
svpv_stl_isort_RusevMerge ALIGNED ,1025188827,22078,3371977,105771038,49761, 2499, 69263, 2053, 27000, 1963, 2008, 7636993, 241924, 11431018, 191121, 3721243, 190787, 190750, 248908831, 6076183, 358546108, 4871657, 112344447, 4835508, 4814532, 
svpv_stl_isort_RusevMerge,1028211519,21887,3382523,106078210,50028, 2543, 68014, 1874, 26821, 2052, 1874, 7699361, 240102, 11424436, 191456, 3741772, 190006, 190526, 249627798, 6057885, 357180919, 4755622, 115115882, 4917624, 4891740, 
svpv_stl_isort_RusevMerge ALIGNED ,1027517095,21887,3373400,106088474,49850, 2543, 68549, 1963, 26509, 1874, 1919, 7701667, 239692, 11417667, 189634, 3681747, 192646, 190750, 250678354, 6153390, 359452960, 4760532, 112089617, 4743573, 4740895, 
svpv_stl_isort_RusevMerge,1033128248,22052,3473129,105691663,51144, 2454, 68281, 1918, 26643, 2008, 1919, 7667824, 254308, 11944693, 196514, 3857100, 195956, 195510, 248450941, 6057885, 358913401, 4816764, 111852194, 4811409, 4939047, 
svpv_stl_isort_RusevMerge ALIGNED ,1047485717,22116,3364278,109048307,49894, 2499, 69263, 1919, 27178, 2053, 2008, 7689766, 239283, 11359240, 189820, 3690896, 191122, 189820, 258279943, 6074844, 373441347, 4792219, 111106004, 4852020, 4791772, 
