Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
timSort_Rusev_With_Checks,905543580,27829,3029250,92734069,99566, 2231, 64488, 1829, 23117, 1785, 1785, 7295435, 211799, 10159512, 167580, 3035041, 167691, 167692, 216323265, 5281794, 319111391, 4236593, 95631485, 4262476, 4291485, 
timSort_Rusev_With_Checks ALIGNED ,922042327,19674,2957244,96036649,45744, 2231, 62926, 1696, 21778, 1695, 1651, 6807794, 212729, 10167248, 167840, 3009677, 167617, 167803, 217900886, 5381762, 329611606, 4168310, 105049903, 5308124, 4835954, 
timSort_Rusev_With_Checks,1021738586,22460,3347234,105571229,52126, 2543, 71673, 2008, 24813, 1963, 2097, 7706204, 243932, 11489036, 189485, 3422045, 189932, 190006, 247875233, 6011026, 363327169, 4738217, 107389781, 4789987, 4867194, 
timSort_Rusev_With_Checks ALIGNED ,927174163,20758,3101102,95032633,51278, 2276, 64131, 1740, 22224, 1740, 1918, 7742093, 211613, 10242745, 168844, 3007186, 167580, 167654, 238601857, 5280455, 314321404, 4200890, 94446596, 4196873, 4180360, 
timSort_Rusev_With_Checks,910115345,19840,3021302,93562440,47841, 2142, 62167, 1740, 21600, 1740, 1651, 6930188, 217341, 10374771, 170146, 3118013, 167654, 171001, 222690426, 5503152, 320359653, 4393685, 93484404, 4304874, 4200889, 
timSort_Rusev_With_Checks ALIGNED ,901957222,20025,3000884,92640158,47217, 2365, 63551, 1695, 21867, 1696, 1785, 6823228, 212171, 10395560, 167580, 3062971, 168510, 176171, 220582618, 5373729, 317793509, 4218740, 92061198, 4174112, 4277204, 
timSort_Rusev_With_Checks,961507838,19655,3032815,100767917,46369, 2231, 62301, 1606, 21734, 1740, 1606, 6782058, 211502, 10435838, 168026, 3274399, 179109, 178774, 218178921, 6088232, 361617893, 4789987, 105060168, 4914501, 4725721, 
timSort_Rusev_With_Checks ALIGNED ,1017263681,22269,3335896,105069922,50653, 2543, 71405, 1963, 25349, 2008, 1963, 7658973, 239432, 11486730, 189336, 3397760, 189560, 189485, 246776031, 6002992, 358978113, 4799805, 109223123, 4935029, 4774367, 
timSort_Rusev_With_Checks,956766052,23015,3178379,98310157,51858, 2543, 74351, 2186, 26107, 1963, 2097, 7919455, 219312, 10466929, 173939, 3119352, 173679, 175985, 253852787, 5389795, 321057644, 4184377, 95158869, 4321832, 4205798, 
timSort_Rusev_With_Checks ALIGNED ,890920573,19547,2948526,91696582,45074, 2142, 62524, 1829, 21734, 1785, 1740, 6775884, 211688, 10143558, 167840, 3004917, 168101, 167691, 218703307, 5448704, 314079964, 4198658, 91049022, 4213832, 4182592, 
timSort_Rusev_With_Checks,1023292111,27746,3431933,104723923,88766, 2454, 72119, 1919, 25081, 2008, 1874, 7884979, 241701, 11834907, 189745, 3489435, 192721, 190043, 251016639, 6252466, 354598709, 4852021, 106147767, 5923107, 4276758, 
timSort_Rusev_With_Checks ALIGNED ,911565773,22626,3015362,93813061,64934, 2231, 63863, 1785, 22135, 1695, 1740, 6988019, 212580, 10318539, 169737, 3081641, 168658, 168361, 225473465, 5392026, 321263828, 4228559, 91882238, 4232129, 4219188, 
timSort_Rusev_With_Checks,987136704,29333,3304571,101071328,101530, 2499, 71004, 1963, 24545, 1963, 1829, 7232249, 251221, 11619909, 190266, 3459124, 189560, 189671, 221285517, 6200250, 364774028, 4965377, 101833075, 4215617, 4225435, 
timSort_Rusev_With_Checks ALIGNED ,894469450,19604,2968433,91964099,44896, 2142, 62792, 1651, 22269, 1740, 1740, 6790798, 213027, 10194100, 167654, 3077104, 168510, 167840, 216619598, 5540193, 316411361, 4303981, 92480707, 4181699, 4211154, 
timSort_Rusev_With_Checks,1034564848,27516,3404497,106665841,88409, 2499, 71093, 1963, 24590, 2008, 2052, 8040882, 245940, 11523102, 189745, 3448860, 189374, 193576, 251356262, 6095820, 363817190, 4825690, 110789587, 4922087, 4854252, 
timSort_Rusev_With_Checks ALIGNED ,906898513,21058,3035047,92925781,53018, 2276, 64041, 1606, 22716, 1874, 1874, 7272303, 212023, 10226009, 169291, 3027231, 169811, 168659, 222182999, 5474590, 317255734, 4288362, 92786859, 4303089, 4188840, 
timSort_Rusev_With_Checks,1029725763,29097,3402850,105978496,99521, 2499, 70781, 2008, 24902, 2052, 1919, 8051183, 239915, 11538833, 190303, 3419851, 190080, 189783, 251238890, 5988710, 360311615, 4719919, 109896122, 4807838, 4886384, 
timSort_Rusev_With_Checks ALIGNED ,947523468,20573,3140827,97464828,51858, 2320, 62926, 1695, 21957, 1606, 1651, 8000827, 212097, 10260782, 168175, 3008376, 167766, 167766, 253283772, 10872864, 314661028, 4276758, 90769200, 4204460, 4185716, 
timSort_Rusev_With_Checks,1020927691,29703,3413396,104589017,97959, 2454, 76805, 2008, 24724, 2008, 1963, 8126643, 239395, 11538908, 189634, 3420112, 189560, 189522, 246090535, 6202482, 360258061, 4848896, 105083822, 4811854, 4827475, 
timSort_Rusev_With_Checks ALIGNED ,1018686883,22237,3350353,105100079,50698, 2543, 71851, 1963, 24635, 1918, 2053, 7642683, 238874, 11575652, 190489, 3425355, 189857, 189559, 246464523, 6127952, 362430580, 4890847, 106131701, 5051510, 4603440, 
