Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
QuickSortDualPivot_Yaroslavskiy ALIGNED ,709789626,15390,2316526,73446293,36059, 7006, 39362, 7631, 13790, 1963, 1918, 5296632, 1133194, 6779826, 1105301, 1428152, 236866, 235713, 148797081, 38049891, 219860527, 37162228, 53608311, 8271909, 8374109, 
QuickSortDualPivot_Yaroslavskiy,698860098,18202,2325973,71743458,53554, 7185, 39764, 8568, 14013, 2008, 2320, 5356360, 1111326, 6788120, 1108611, 1430606, 246833, 239953, 147882641, 37827640, 207441729, 37448298, 54050580, 8750775, 8802543, 
QuickSortDualPivot_Yaroslavskiy ALIGNED ,695527672,15473,2308302,71506735,38068, 6694, 39273, 7006, 13656, 1829, 1785, 5263830, 1115528, 6789124, 1104036, 1419784, 232998, 232812, 148006262, 37800418, 207238668, 37377784, 53610542, 8303150, 8210322, 
QuickSortDualPivot_Yaroslavskiy,719917654,15396,2492134,72785790,36194, 6739, 39407, 7497, 13924, 2052, 1963, 5274355, 1113595, 8026787, 1107421, 1437003, 243560, 242221, 147915220, 37764715, 215563240, 37373768, 53981852, 8430787, 8470953, 
QuickSortDualPivot_Yaroslavskiy ALIGNED ,709979758,16729,2479920,71499339,36193, 7720, 39451, 15486, 14057, 2097, 2097, 5296372, 1677030, 7099404, 1231637, 1552145, 251891, 250961, 147763037, 37637523, 207225279, 37463918, 53738626, 8265216, 8401778, 
QuickSortDualPivot_Yaroslavskiy,725139200,15569,2381599,74856429,35970, 7051, 39184, 8792, 13968, 2052, 1963, 5755377, 1110694, 6787748, 1101842, 1430718, 245383, 239432, 152245532, 37845939, 224928995, 37564779, 54508469, 8370538, 8530756, 
QuickSortDualPivot_Yaroslavskiy ALIGNED ,715833234,16365,2331849,74116041,37399, 7586, 39764, 8925, 15620, 2766, 2499, 5343530, 1124863, 6845914, 1107421, 1425623, 238725, 236866, 149363418, 37666531, 222352141, 38288654, 54075572, 8642327, 8423647, 
QuickSortDualPivot_Yaroslavskiy,725091892,16085,2330223,75461019,38648, 7453, 39942, 7676, 14236, 2365, 2276, 5295219, 1143310, 6849707, 1103218, 1431536, 247130, 241440, 157751362, 38069082, 223780702, 37657159, 54101903, 8443283, 8423647, 
QuickSortDualPivot_Yaroslavskiy ALIGNED ,705338826,15581,2373098,72129686,36729, 7274, 39362, 7274, 14191, 2097, 2142, 5314967, 1185558, 7012750, 1149929, 1464226, 243188, 241068, 148515921, 37925823, 209049697, 37536216, 54658422, 8300025, 8921701, 
QuickSortDualPivot_Yaroslavskiy,701525317,15658,2312770,72308073,38112, 6828, 39362, 7586, 13879, 1963, 1874, 5270934, 1110061, 6787302, 1100689, 1426701, 249660, 244044, 152297302, 38210554, 207321678, 37662515, 53826545, 8417399, 8420523, 
QuickSortDualPivot_Yaroslavskiy ALIGNED ,695021590,15371,2306161,71461150,36818, 6872, 39273, 7096, 13834, 1963, 1740, 5261859, 1109243, 6790946, 1092768, 1423726, 232589, 231994, 147860773, 37442496, 207145841, 37205072, 53811371, 8490590, 8271909, 
QuickSortDualPivot_Yaroslavskiy,701175873,19878,2354519,71714959,68103, 6917, 39317, 7229, 13745, 1919, 1919, 5561801, 1117648, 6781835, 1113111, 1424656, 241589, 240994, 148229405, 37843261, 207306950, 37727226, 53656510, 8763270, 8478093, 
QuickSortDualPivot_Yaroslavskiy ALIGNED ,705968094,15333,2420867,71648845,36729, 6783, 39273, 6828, 13834, 2008, 1874, 5331480, 1640584, 6944171, 1123822, 1436408, 237535, 232068, 147939766, 37820054, 207451100, 37647787, 53766296, 8448193, 8468721, 
QuickSortDualPivot_Yaroslavskiy,696684898,15256,2313307,71614162,35747, 6738, 39228, 7274, 13968, 1874, 1963, 5266359, 1124156, 6785368, 1107347, 1430606, 239506, 239804, 147809004, 37854418, 207285082, 37799971, 53549848, 8450870, 8549945, 
QuickSortDualPivot_Yaroslavskiy ALIGNED ,696301980,15409,2311405,71580755,36729, 6872, 39184, 6917, 13968, 2142, 2052, 5285141, 1119322, 6791244, 1091169, 1421792, 237424, 233742, 148039734, 37621903, 207397546, 37402777, 53793520, 8410704, 8399101, 
QuickSortDualPivot_Yaroslavskiy,697277114,15333,2314406,71684803,36015, 7051, 39630, 7006, 13790, 1919, 1918, 5269334, 1115194, 6787004, 1114710, 1431945, 240734, 241924, 147898261, 38234654, 207518490, 37564332, 53635088, 8411151, 8531648, 
QuickSortDualPivot_Yaroslavskiy ALIGNED ,696622868,15454,2309933,71643808,36550, 7095, 39184, 7229, 14102, 2053, 1963, 5284434, 1100057, 6783955, 1097863, 1434697, 236308, 232217, 147663961, 37648234, 207343992, 37364843, 53881884, 8852974, 8750774, 
QuickSortDualPivot_Yaroslavskiy,704582820,20745,2386768,71806001,36952, 8747, 57437, 10309, 25081, 3347, 3347, 5322889, 1136950, 6785591, 1125198, 1846210, 240659, 249882, 149209895, 37719193, 207267677, 37691077, 53667221, 8620906, 8466044, 
QuickSortDualPivot_Yaroslavskiy ALIGNED ,697107985,15416,2312813,71678937,36684, 6917, 39451, 6917, 13879, 1963, 2097, 5275769, 1116533, 6806938, 1098979, 1423652, 234709, 233110, 147709482, 37829872, 207399331, 37377785, 54502222, 8523169, 8410704, 
