Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
timSort_Rusev_WithMerge,1086155951,23710,3670707,110879545,55696, 2499, 75333, 1963, 26598, 2008, 1874, 8500817, 244230, 12460265, 191679, 3914411, 191940, 191605, 266886567, 6176151, 378442872, 5448259, 109631921, 4763210, 4807838, 
timSort_Rusev_WithMerge ALIGNED ,1052065497,23665,3500215,108055830,54536, 2543, 75154, 2052, 27401, 1963, 2008, 8076287, 240325, 12005202, 190712, 3609114, 190154, 189708, 255880709, 6001207, 370648489, 4797574, 109401637, 4794450, 4866748, 
timSort_Rusev_WithMerge,1052768396,24233,3538197,107694785,55294, 2454, 78055, 1874, 27981, 1963, 2008, 8311703, 239097, 12031385, 189560, 3616552, 189597, 189485, 254263370, 6044051, 369770645, 4715457, 109552036, 4778829, 4739110, 
timSort_Rusev_WithMerge ALIGNED ,1047524990,23812,3492856,107494020,55116, 2499, 76403, 1963, 26732, 1919, 2052, 8044006, 239581, 12001818, 189597, 3594424, 189708, 190861, 255028749, 6039142, 368207752, 4757855, 108966063, 4735540, 4723044, 
timSort_Rusev_WithMerge,1057806080,32017,3530451,108429563,105323, 3079, 83009, 1874, 26732, 2097, 2008, 8268413, 239804, 12012529, 193241, 3608444, 189857, 200865, 257233402, 6327441, 370312883, 4773474, 110767719, 4826582, 4765441, 
timSort_Rusev_WithMerge ALIGNED ,1051104207,23506,3500597,107915505,54446, 2543, 75243, 1829, 26598, 1874, 2008, 8084767, 240622, 11997727, 193725, 3604242, 192498, 190601, 255938281, 5995406, 370418205, 4745358, 108725068, 4837293, 4748929, 
timSort_Rusev_WithMerge,1060571708,27956,3522731,108957902,83544, 2409, 76002, 1874, 28026, 1874, 1963, 8143862, 240325, 12080811, 190973, 3621573, 189783, 191791, 257671655, 6069488, 373124038, 4765887, 111350569, 4820780, 4902898, 
timSort_Rusev_WithMerge ALIGNED ,1056014246,23831,3556011,107948722,54848, 2499, 76404, 2053, 27178, 2008, 1829, 8070337, 347061, 12230726, 277218, 3587320, 189708, 189708, 255815105, 5984695, 371057287, 4722598, 108423826, 4852913, 4784632, 
timSort_Rusev_WithMerge,1065697748,29697,3590943,108854236,98450, 2365, 74663, 2008, 26509, 1874, 2008, 8717303, 244973, 12002339, 192497, 3594833, 190303, 194357, 265863679, 6223457, 367182186, 4716350, 108430073, 4822119, 4741788, 
timSort_Rusev_WithMerge ALIGNED ,1048105155,23557,3489732,107616940,54536, 2454, 75377, 1919, 26732, 1963, 1919, 8079374, 239209, 11924871, 189336, 3615808, 189745, 189783, 255885619, 6087340, 368878073, 4774367, 108250666, 4726614, 4715903, 
timSort_Rusev_WithMerge,1053292342,23908,3556197,107556882,58016, 2499, 74797, 1919, 26241, 1963, 1919, 8049956, 239172, 12441410, 189560, 3592750, 190489, 190043, 255176024, 5973537, 368025220, 4777937, 109437340, 4716796, 4791326, 
timSort_Rusev_WithMerge ALIGNED ,1046337423,23850,3481742,107457361,54625, 2677, 76582, 1918, 27268, 2008, 1874, 8013547, 238800, 11941793, 190155, 3608333, 190043, 189522, 254482050, 6115456, 368616549, 4797127, 108555926, 4830153, 4804268, 
timSort_Rusev_WithMerge,1058436235,24890,3505506,108890194,64532, 2499, 74619, 2053, 26598, 2008, 1918, 8062861, 240622, 12025471, 191791, 3635445, 191791, 190564, 254850236, 6162316, 369788050, 4815872, 117083557, 4735094, 4796235, 
timSort_Rusev_WithMerge ALIGNED ,1062785289,23328,3475695,109884838,54491, 2410, 74574, 1963, 26063, 1918, 1874, 8027382, 238874, 11918251, 189745, 3575828, 189783, 190006, 255173347, 6220779, 384970251, 4743127, 108582257, 4776599, 4727507, 
timSort_Rusev_WithMerge,1057188419,30634,3526987,108396729,103583, 2365, 75958, 1919, 26688, 1963, 1963, 8261124, 240027, 11999029, 189894, 3617333, 189894, 191605, 257818036, 6200697, 370617249, 4771243, 109720286, 4828813, 4820781, 
timSort_Rusev_WithMerge ALIGNED ,1055762986,23793,3501867,108562938,54491, 2588, 76671, 2186, 26777, 1919, 1919, 8082089, 240659, 12017438, 190564, 3599258, 190750, 192312, 256368946, 6185076, 372679090, 4765441, 109996983, 4937261, 5007774, 
timSort_Rusev_WithMerge,1057076845,24214,3503865,108722454,56499, 2499, 77564, 2320, 26777, 1919, 1919, 8090531, 241738, 12010223, 191121, 3612907, 190452, 190080, 258213000, 6096712, 371931562, 4790433, 110317417, 4898435, 4809623, 
timSort_Rusev_WithMerge ALIGNED ,1061764187,23442,3478926,109699055,54536, 2409, 74842, 1874, 26643, 1874, 1919, 8056613, 239209, 11923049, 190229, 3564002, 189857, 189522, 265106333, 5963718, 365498796, 4729738, 117082665, 4737325, 4774813, 
timSort_Rusev_WithMerge,1057924789,31405,3561287,108082607,108402, 2990, 75957, 1919, 26598, 2008, 1963, 8494754, 241329, 11991516, 191345, 3627151, 191828, 191084, 255955686, 6101175, 369325697, 4839971, 110848943, 4752052, 4754730, 
timSort_Rusev_WithMerge ALIGNED ,1048349725,23608,3507153,107442315,54670, 2499, 75243, 1918, 27000, 2052, 1874, 8128651, 240399, 11942201, 195547, 3651362, 196589, 195324, 255137643, 6008347, 368334943, 4730185, 108438999, 4726168, 4719920, 
