Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
stl_StableSort,864480367,20280,3065086,86513354,42754, 14281, 44405, 12183, 13031, 8077, 7229, 5505457, 1488289, 7800259, 1428709, 2195094, 1616373, 1421420, 151839859, 46640003, 234015824, 41825916, 50310257, 40184477, 40777144, 
stl_StableSort ALIGNED ,850701745,16474,2818019,87547845,31329, 11246, 40522, 6873, 10800, 6872, 7676, 4625642, 1554041, 7559711, 1319407, 1695737, 1658100, 1313494, 148599823, 46838154, 231070336, 43893113, 58222015, 41574211, 42637264, 
stl_StableSort,864145211,16410,2742055,90380548,29767, 11291, 43512, 6739, 10353, 6605, 6605, 4728250, 1471181, 7515789, 1267489, 1699828, 1254509, 1257336, 149776232, 42188747, 244873067, 41383200, 57282136, 48091770, 49068690, 
stl_StableSort ALIGNED ,906199626,20025,3108418,91955810,36773, 13790, 48823, 12094, 11871, 8524, 8300, 5327277, 1571782, 8283215, 1415618, 2109705, 1567430, 1483900, 174895881, 43740036, 234798162, 50897570, 53082586, 43242428, 43034012, 
stl_StableSort,861762939,16895,2792777,89426708,37443, 10978, 40388, 6471, 10353, 6381, 6248, 5403183, 1429119, 7329725, 1235468, 1650328, 1246290, 1255327, 151070015, 49003533, 233521339, 49239619, 52862567, 44750874, 45539015, 
stl_StableSort ALIGNED ,853437025,16780,2756118,88678350,29365, 12763, 40835, 10710, 10576, 6560, 6649, 4857115, 1440834, 7454164, 1245175, 1698898, 1265518, 1331122, 158583238, 43785112, 230280410, 52394413, 51619214, 41762544, 42323525, 
stl_StableSort,844411789,17596,2796794,86892760,31374, 13567, 42307, 8569, 12272, 7854, 7229, 4668745, 1555418, 7627621, 1313456, 1777594, 1324167, 1310556, 149944928, 43178609, 235692519, 42570768, 51064035, 42267739, 43530728, 
stl_StableSort ALIGNED ,913722230,16767,2893824,95638180,32177, 11469, 41192, 7363, 11603, 6917, 6649, 5259740, 1547198, 7689134, 1281956, 1730399, 1398027, 1350312, 149254078, 53036619, 252093081, 51195689, 62442094, 45506883, 55938816, 
stl_StableSort,852037028,17621,2804365,87890975,32757, 11826, 42397, 7006, 13701, 8568, 7095, 4938376, 1479995, 7671468, 1252501, 1676398, 1357378, 1254435, 161598347, 43846699, 227060904, 45196714, 56841206, 40284891, 40408066, 
stl_StableSort ALIGNED ,817401219,15581,2692405,84306916,27267, 11290, 40210, 7051, 10398, 6471, 6381, 4645353, 1417478, 7331882, 1236658, 1643150, 1235840, 1336477, 147585861, 43235287, 226854274, 41524673, 50353548, 40240262, 40354512, 
stl_StableSort,838236975,16397,2706208,87109656,28696, 12317, 40344, 10309, 10264, 6560, 6292, 4677522, 1449387, 7400536, 1274778, 1655609, 1242720, 1242906, 147210981, 41521995, 231136833, 40677623, 51197921, 54055936, 43966304, 
stl_StableSort ALIGNED ,839792286,16366,2782226,86419953,32445, 11335, 40567, 6872, 10532, 6337, 6471, 4710436, 1501789, 7681994, 1331010, 1651852, 1227918, 1370581, 155269119, 42392699, 228490804, 41992827, 51117143, 42119573, 43557506, 
