Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
svpv_stl_isort ALIGNED ,1634693098,33254,5523213,166916480,66496, 25795, 72923, 18922, 39139, 4552, 4953, 11087081, 4342808, 12802901, 3608147, 5919610, 451715, 450228, 312655865, 147892013, 386534036, 111287642, 187645823, 11222306, 11177677, 
svpv_stl_isort,1623950109,41957,5586936,164530062,127950, 25795, 72923, 18967, 38915, 4641, 4507, 11491899, 4363151, 12827001, 3608072, 5915036, 452422, 450971, 312588923, 131074174, 385376817, 111151079, 188865077, 11302191, 11352175, 
svpv_stl_isort ALIGNED ,1621106372,33267,5524185,164963724,65470, 25839, 72967, 18922, 39585, 5578, 4507, 11071126, 4325403, 12850356, 3601044, 5918718, 451083, 451567, 313086085, 130657790, 388632473, 111056466, 188784745, 11206685, 11321828, 
svpv_stl_isort,1631066590,33675,5526050,166360153,66853, 26375, 73146, 19457, 40031, 4953, 4909, 11076258, 4370924, 12823877, 3598589, 5910722, 452162, 449819, 313128928, 130700187, 395510632, 111187228, 191473619, 11246405, 11274075, 
svpv_stl_isort ALIGNED ,1622263598,33369,5589428,164345108,65291, 26464, 73637, 18833, 39585, 5221, 4551, 11079382, 4424367, 13055425, 3679850, 5968627, 453389, 464955, 313241839, 130257025, 386124346, 110657933, 187777032, 11172768, 11184818, 
svpv_stl_isort,1650546076,37252,5959521,163905517,94835, 25795, 72967, 19011, 39094, 4552, 4507, 11148222, 4630290, 14711815, 3789116, 6500749, 464434, 472021, 310506553, 130503822, 384891704, 110823058, 188212607, 11179462, 11221413, 
svpv_stl_isort ALIGNED ,1635003272,33139,5699278,164849156,65470, 25795, 73369, 18788, 39585, 4418, 4552, 12341702, 4325477, 12812348, 3599481, 5911726, 452756, 451455, 312658543, 130673856, 388051408, 111678588, 188425932, 11214273, 11241496, 
svpv_stl_isort,1615828163,41549,5539279,163945746,125227, 25706, 72789, 18922, 38871, 4820, 4507, 11277496, 4345486, 12764186, 3587357, 5896180, 448777, 455471, 311300495, 130309687, 384339203, 110832876, 188461188, 11201777, 11175000, 
svpv_stl_isort ALIGNED ,1631299109,33101,5502822,166677845,65603, 25750, 73012, 18922, 39184, 4552, 4685, 11010580, 4320568, 12788769, 3593754, 5905106, 451083, 449893, 316182863, 130419027, 398636418, 110916778, 188176012, 11155809, 11258009, 
svpv_stl_isort,1618269343,40497,5507226,164689641,117417, 25706, 72967, 18922, 39050, 4641, 4775, 11035906, 4344891, 12786426, 3598589, 5884874, 450562, 449335, 311104576, 130206594, 390914333, 110600808, 187667246, 11182587, 11151347, 
svpv_stl_isort ALIGNED ,1614411196,33037,5531118,163926364,65425, 25706, 72834, 18922, 38916, 4864, 4596, 11005857, 4351399, 12809819, 3657238, 5979264, 455062, 459191, 310358386, 130296298, 386109618, 110617767, 187759627, 11179462, 11163396, 
svpv_stl_isort,1620803346,40682,5550516,164530317,115632, 26375, 73369, 19681, 39897, 4730, 5087, 11203970, 4382081, 12829716, 3603312, 5931846, 450674, 452013, 312946397, 131001876, 385695911, 111091277, 188626760, 11163843, 11186157, 
svpv_stl_isort ALIGNED ,1635092083,32999,5527628,166923047,65113, 25706, 73056, 18877, 38692, 4686, 4864, 11123193, 4326518, 12822166, 3599035, 5919871, 451678, 450934, 313173110, 130701972, 403547795, 110992647, 187769445, 11135727, 11140636, 
svpv_stl_isort,1619449308,33286,5525024,164716737,66898, 25929, 72744, 19011, 39094, 4552, 4775, 11102961, 4351733, 12802343, 3601341, 5915259, 450822, 450711, 312613022, 133003915, 385451346, 111043078, 188488858, 11201330, 11215611, 
svpv_stl_isort ALIGNED ,1622692041,33133,5520663,165233855,65827, 25840, 72789, 19056, 39094, 4596, 4730, 11071052, 4327820, 12804872, 3604688, 5925412, 453501, 457294, 312280093, 131361583, 387958581, 111170715, 191482097, 11203562, 11180355, 
svpv_stl_isort,1627778338,34918,5530757,165821485,71450, 25884, 74485, 19011, 43646, 4953, 4998, 11106605, 4355713, 12794533, 3633362, 5920912, 452198, 451976, 313303872, 130819792, 385598621, 111032366, 197537305, 11259793, 11198652, 
svpv_stl_isort ALIGNED ,1616463675,33063,5499969,164593115,65202, 26018, 72744, 18967, 39184, 4507, 4819, 11037245, 4306064, 12748492, 3587804, 5919090, 450191, 450897, 312152008, 130786766, 388661035, 110692743, 187573079, 11156256, 11129924, 
svpv_stl_isort,1631264293,34140,5534269,166285113,71718, 25795, 73815, 19012, 39451, 4462, 4730, 11149077, 4361924, 12804724, 3604725, 5918792, 450339, 450302, 312743338, 130289158, 384039298, 117982824, 196596088, 11178123, 11166966, 
svpv_stl_isort ALIGNED ,1672921513,34823,5984322,166828689,65157, 27268, 75913, 24278, 41058, 4909, 5177, 12174865, 4673245, 13778891, 3875063, 6409112, 487455, 491621, 317151303, 132205509, 393317136, 112393539, 190172694, 11327183, 11233463, 
