Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
stl_StableSort,911138716,19357,2987742,94116172,40178,13153,45116,9614,12337,7573,7528,5218046,1589443,8057662,1396578,1878123,1394297,1380049,164054681,46891306,248619169,46293573,57394622,47984773,47575083,
stl_StableSort ALIGNED,915132240,18837,3034496,94130829,33334,13365,47419,9697,12834,7515,7697,5227737,1625170,8199367,1446985,1871676,1450843,1419696,164997326,47304008,249165289,47696941,57625732,45176564,46949948,
stl_sortRegular,849036021,18546,2891560,86406659,43652,10699,46413,6468,20772,925,896,6589744,1443176,8098534,1159993,2803809,73407,72255,185304563,44353189,243504843,35750782,92240181,1828567,1864493,
stl_sortRegular ALIGNED,853867983,17994,2882100,87215976,38059,10746,47258,6653,21309,974,961,6492548,1434473,8162953,1115468,2821962,73571,73724,189171519,42824124,247710910,34755140,92488584,1768251,1793310,
