Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
stl_StableSort,853420965,16831,2818731,87924191,27759, 13165, 44361, 6694, 12763, 6649, 6426, 5170891, 1459875, 7637216, 1232976, 1744643, 1239335, 1246178, 157952190, 48423362, 231930775, 42268632, 51306368, 42010679, 41577336, 
stl_StableSort ALIGNED ,833414854,18374,2773900,85588713,29097, 13076, 46726, 7988, 12808, 8167, 10755, 4701734, 1520273, 7601067, 1289691, 1740998, 1280580, 1282960, 151998736, 41274753, 227733903, 45000348, 52157882, 40745458, 40209915, 
stl_StableSort,843123805,16818,2701469,87860436,32266, 11916, 40656, 10398, 10398, 6069, 6024, 4658852, 1431536, 7409090, 1232455, 1702469, 1229666, 1246216, 147893799, 41032420, 232909927, 55190841, 54002381, 40955659, 43038029, 
stl_StableSort ALIGNED ,842636908,17124,2776849,86883261,32980, 12139, 41103, 10041, 10978, 6337, 6292, 4736134, 1459429, 7750722, 1265406, 1735010, 1240265, 1250976, 149390195, 43438348, 235144927, 43322313, 52714847, 43284825, 40887377, 
stl_StableSort,850626770,17092,2835732,87318390,32578, 12228, 40969, 10264, 10933, 6337, 6337, 4764957, 1545711, 7648634, 1481669, 1832673, 1287609, 1288873, 153363479, 48477362, 230616017, 40861938, 52717971, 40325057, 44866909, 
stl_StableSort ALIGNED ,837288623,17086,2710469,86916159,33873, 11826, 40879, 9818, 10755, 6382, 6069, 4724345, 1411527, 7479082, 1222005, 1700795, 1214753, 1220778, 149857903, 41376953, 230438396, 41557252, 55367124, 44966876, 44848611, 
stl_StableSort,830972334,16544,2684957,86325404,31909, 11514, 40344, 9729, 10264, 6114, 5935, 4697642, 1413982, 7378147, 1207947, 1677440, 1207314, 1212224, 148025453, 41047594, 231579548, 46554316, 54287111, 40540167, 42243640, 
stl_StableSort ALIGNED ,848975067,15932,2793107,87605543,27312, 10934, 42754, 6917, 10755, 6516, 6337, 4863326, 1429602, 7846376, 1212261, 1736201, 1252166, 1211815, 155393633, 41541186, 236731028, 43976122, 52124410, 44213546, 39258879, 
stl_StableSort,922745675,21740,3046544,95044874,59713, 12496, 45878, 8390, 11782, 7051, 6872, 5394778, 1598484, 8348224, 1365560, 1895078, 1363626, 1360056, 166279885, 47709303, 257172707, 45008381, 57088448, 45676918, 46378479, 
stl_StableSort ALIGNED ,915400707,17762,3018167,94375892,30838, 12451, 46994, 8390, 11871, 7006, 6783, 5257508, 1579331, 8331860, 1360614, 1885855, 1353473, 1358531, 166242398, 45863019, 256662602, 44432226, 57612388, 44654476, 45164135, 
stl_StableSort,919433788,18355,3040370,94679685,30927, 13031, 46904, 9104, 13924, 7408, 7185, 5266545, 1596848, 8349414, 1383746, 1923752, 1383226, 1379060, 167362129, 46626614, 256395278, 44658493, 57219657, 45049886, 45445741, 
stl_StableSort ALIGNED ,917969076,17513,3017647,94751537,30972, 12139, 45521, 8523, 11692, 7051, 6694, 5255091, 1577918, 8339261, 1356002, 1897942, 1351614, 1345700, 166654766, 45731365, 257781441, 45134680, 57922557, 44983389, 45052563, 
stl_StableSort,949786583,17704,3137724,97854053,31641, 12362, 45878, 8300, 11737, 7051, 6962, 5286851, 1699345, 8722063, 1485462, 1942161, 1440610, 1387577, 168190882, 47748131, 274818853, 46689987, 58045285, 44538889, 44946347, 
stl_StableSort ALIGNED ,927683386,17621,3026769,96028743,31061, 12139, 45878, 8345, 11826, 7140, 6962, 5301207, 1580744, 8353691, 1362659, 1892661, 1350238, 1346184, 166264265, 46223171, 256764355, 44929389, 56895207, 44693749, 56431070, 
stl_StableSort,939664814,18074,3163795,96091542,31641, 13031, 45878, 10621, 11647, 6962, 6738, 5268070, 1615108, 8636525, 1383523, 2477853, 1380436, 1385048, 166818999, 45991549, 266302379, 44812015, 57432089, 45964772, 45318996, 
stl_StableSort ALIGNED ,940244109,18087,3079139,97190043,35925, 12094, 45744, 7230, 11782, 6872, 6962, 5292951, 1595509, 8583677, 1371659, 1976228, 1367271, 1366676, 166308894, 45687629, 266953510, 48104266, 61121534, 45842936, 46311537, 
stl_StableSort,948186653,22218,3152760,97399925,59356, 12361, 49002, 7363, 12764, 7631, 7051, 5585454, 1612914, 8375410, 1504801, 1962877, 1518190, 1509674, 168273445, 46916254, 264246785, 54668240, 57258037, 45351575, 45085143, 
stl_StableSort ALIGNED ,919072305,18839,3022976,94831932,35301, 13210, 46458, 10978, 11960, 7185, 6783, 5263124, 1572228, 8360088, 1363068, 1896752, 1349196, 1356374, 167160408, 46045550, 257628365, 44608955, 57189755, 44435350, 46755145, 
