Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
stl_sortRegular ALIGNED ,900638012,16665,3074782,91598527,36060, 9729, 43602, 5980, 19725, 758, 803, 6989283, 1357080, 9025612, 1061453, 2934702, 73191, 82154, 178099768, 45812142, 265274582, 37809343, 110240655, 1700349, 2252852, 
stl_sortRegular,828985472,18367,2802654,84610965,38202, 10978, 49671, 6069, 21689, 981, 981, 6735979, 1367754, 7673328, 1053792, 2655698, 66013, 66013, 186466291, 41376060, 234193445, 36915879, 87071722, 2832577, 3420781, 
stl_sortRegular ALIGNED ,821953791,17749,2791231,83749696,41683, 9684, 44182, 6962, 19904, 892, 937, 6237031, 1363626, 7660349, 1085776, 2965793, 101939, 124104, 176760018, 40261684, 246238256, 33041224, 86616064, 1654828, 1675803, 
stl_sortRegular,937454819,24513,3167333,95668973,80286, 10755, 49671, 6783, 22269, 937, 892, 6812257, 1551103, 9304057, 1345849, 3001607, 81633, 74827, 199388945, 58088575, 264589533, 36948457, 106746683, 1992220, 1928402, 
stl_sortRegular ALIGNED ,885947617,20267,2923305,91281600,41103, 12451, 52929, 7765, 25036, 1338, 1249, 7193534, 1462107, 7826441, 1132413, 2711893, 68579, 68170, 177677582, 40490182, 284415785, 32759617, 99714556, 1915013, 1998468, 
stl_sortRegular,857952550,19107,2960156,86851702,41995, 11068, 49671, 6783, 22314, 937, 981, 7038784, 1443883, 8094548, 1186860, 2815952, 70662, 70401, 203789325, 50956033, 230580761, 32553434, 86774049, 1653043, 1655275, 
stl_sortRegular ALIGNED ,902873005,19024,2992155,92885743,35836, 12005, 53152, 6917, 23296, 1026, 936, 6196382, 1551103, 8788299, 1199951, 3056612, 76947, 75794, 191974797, 52917906, 265174168, 36855630, 99383412, 1997130, 1897162, 
stl_sortRegular,828309345,17532,2790243,84671659,41861, 9773, 43646, 6158, 19592, 847, 848, 6658771, 1365374, 7666597, 1043379, 2664252, 66868, 66459, 176501172, 48047142, 243798857, 33274632, 87596108, 1705705, 1778003, 
stl_sortRegular ALIGNED ,808634374,17067,2736364,82512145,37354, 10219, 44360, 5935, 19815, 981, 803, 6210366, 1372143, 7703378, 1064317, 2663992, 70513, 69843, 182784878, 40337553, 230359403, 34152922, 86610262, 1663307, 1676696, 
stl_sortRegular,810156659,16837,2753127,82530762,37666, 9728, 43245, 6069, 19636, 758, 758, 6205829, 1368684, 7770135, 1041854, 2748451, 70066, 66868, 176452080, 40389768, 231030171, 39247276, 87222120, 1660183, 1713738, 
stl_sortRegular ALIGNED ,930148669,18457,3020139,96452141,37398, 11112, 49493, 6962, 22269, 892, 1071, 6450133, 1569438, 8729538, 1204339, 3029649, 82674, 75199, 215733721, 45738951, 274404253, 36982376, 98538146, 1887789, 1879756, 
stl_sortRegular,900294808,19101,3161510,90484406,41683, 11157, 49894, 6783, 22135, 1071, 981, 7032759, 1653229, 8862717, 1331345, 3084132, 83715, 82674, 199516136, 53900628, 251682051, 38167264, 86762000, 1687407, 1675357, 
stl_sortRegular ALIGNED ,821595858,16691,2721308,84548230,35881, 9863, 43735, 6024, 19681, 848, 803, 6200510, 1361655, 7660609, 1041333, 2652574, 66347, 66124, 197998764, 40387537, 230908335, 32397680, 86666941, 1814152, 1664201, 
stl_sortRegular,804720905,16856,2753578,81748614,36907, 9907, 43825, 6114, 19681, 803, 758, 6199171, 1404089, 7678237, 1078412, 2777237, 69062, 68839, 177369644, 40347371, 230738746, 33502684, 86911951, 1669555, 1700349, 
stl_sortRegular ALIGNED ,810107573,16684,2789276,82091489,35792, 9684, 43691, 6158, 19725, 847, 892, 6325842, 1388878, 7960662, 1053792, 2663062, 66347, 66347, 177923932, 40772235, 231020352, 34796913, 86561170, 1686514, 1879310, 
stl_sortRegular,813132049,17417,2727853,83253299,38291, 12406, 43691, 6024, 19726, 892, 892, 6210477, 1362436, 7676936, 1043788, 2658339, 76686, 66310, 182585834, 40832038, 235307821, 33499560, 86874463, 1656613, 2016766, 
stl_sortRegular ALIGNED ,899393776,18336,3030573,91934580,36997, 11067, 49269, 6783, 22180, 1026, 1026, 6250234, 1663381, 8674571, 1318663, 3138394, 83083, 85687, 196755858, 45781795, 261278984, 37453207, 98397120, 1952501, 1922600, 
stl_sortRegular,924361678,19279,3081274,94883574,43646, 10978, 49270, 6828, 22403, 982, 848, 7020151, 1544595, 8657128, 1182546, 3014438, 75050, 75013, 199327804, 45619793, 270251562, 37619672, 106887709, 2425563, 2052915, 
stl_sortRegular ALIGNED ,912584190,19375,3110671,92847362,41861, 11157, 50965, 6872, 22626, 1115, 1026, 7029635, 1581042, 8749881, 1194967, 3055385, 88625, 75162, 200048109, 46015648, 265091605, 36895795, 98074454, 1869046, 1936881, 
