Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
RusevMergeSortBasedOn2_3rd_merge_improve,970311721,20784,3241629,99508562,48957, 2454, 57838, 1874, 30570, 1918, 1874, 7368589, 239320, 10322035, 189373, 4192930, 189894, 189262, 231355067, 6011025, 322430420, 4727953, 121545524, 5733882, 4756069, 
RusevMergeSortBasedOn2_3rd_merge_improve ALIGNED ,994487925,20210,3231003,103095553,44717, 2454, 57704, 1963, 30704, 2008, 1919, 7187583, 247130, 10404412, 199229, 4192223, 190155, 196291, 230150987, 5971306, 341302512, 4768119, 129933914, 4793111, 4748928, 
RusevMergeSortBasedOn2_3rd_merge_improve,970817363,24686,3275557,99134638,74172, 2544, 59534, 2008, 30749, 1919, 1874, 7533194, 239506, 10393441, 189596, 4190661, 189634, 192870, 230454462, 6007009, 323468034, 4729292, 119804116, 4760978, 4718581, 
RusevMergeSortBasedOn2_3rd_merge_improve ALIGNED ,966710195,25521,3227029,99121888,44271, 3570, 85240, 2588, 38693, 2187, 2097, 7153889, 243411, 10420143, 190861, 4197021, 192349, 191531, 228499284, 6208284, 325534338, 4721705, 119346227, 4823458, 4719920, 
RusevMergeSortBasedOn2_3rd_merge_improve,966896291,20682,3219650,99285419,47440, 2499, 58061, 2008, 30927, 1874, 1963, 7169881, 240213, 10347399, 189783, 4210856, 189931, 189485, 231108271, 6097604, 321767685, 4931905, 121647277, 4725722, 4719473, 
RusevMergeSortBasedOn2_3rd_merge_improve ALIGNED ,932503265,20949,3284334,93593234,44316, 2543, 62837, 1919, 31195, 1963, 1874, 7504297, 239841, 10434239, 194171, 4225732, 201870, 190192, 233345949, 5450936, 288048106, 4399486, 115158726, 4300858, 4448578, 
RusevMergeSortBasedOn2_3rd_merge_improve,959997622,17991,3373740,96477707,39496, 2231, 51769, 1830, 27134, 1829, 1651, 6397062, 252151, 12132096, 203320, 4239158, 197295, 195101, 203999079, 6239077, 327679635, 5258141, 122305549, 5043924, 4818549, 
RusevMergeSortBasedOn2_3rd_merge_improve ALIGNED ,876821075,19700,2984792,89245644,45387, 2365, 54090, 2052, 29945, 2142, 1919, 7308601, 211390, 9156411, 167468, 3714289, 167580, 167803, 212519123, 5361679, 285781867, 4267386, 108168550, 4312461, 4308444, 
RusevMergeSortBasedOn2_3rd_merge_improve,866772945,18578,2860262,89315774,39317, 2365, 53286, 1874, 29722, 1695, 1785, 6362921, 213956, 9224581, 168621, 3715590, 168212, 167952, 209797672, 5418358, 290734747, 4282559, 106604764, 4184823, 4187501, 
RusevMergeSortBasedOn2_3rd_merge_improve ALIGNED ,849561030,17908,2838899,87119984,39094, 2142, 51858, 1785, 27045, 1785, 1651, 6350462, 211614, 9102112, 167729, 3704730, 167654, 167989, 202946737, 5299645, 284406413, 4190179, 104613882, 4210708, 4172327, 
RusevMergeSortBasedOn2_3rd_merge_improve,858158279,18221,2847989,88235954,39094, 2276, 53643, 1874, 27312, 1651, 1695, 6357789, 211539, 9157229, 167543, 3705400, 167692, 168733, 202715560, 5525020, 287952155, 4177236, 108757200, 4325849, 4198658, 
RusevMergeSortBasedOn2_3rd_merge_improve ALIGNED ,865473804,18316,2857340,89167862,40165, 2231, 53286, 1740, 27178, 1829, 1785, 6385198, 211911, 9143989, 169031, 3713656, 168621, 208973, 208478451, 6101621, 286499047, 8477647, 106126792, 4186608, 4304874, 
RusevMergeSortBasedOn2_3rd_merge_improve,940762680,18131,3105183,96951153,40165, 2231, 51992, 1829, 27312, 1695, 1695, 6398103, 240585, 10317386, 188965, 4211451, 190080, 189708, 204512308, 6269871, 327933571, 4914054, 125162671, 5039014, 4826582, 
RusevMergeSortBasedOn2_3rd_merge_improve ALIGNED ,975943399,20248,3271148,99964220,44494, 2454, 58374, 2186, 30481, 1918, 1829, 7287811, 248730, 10503153, 193985, 4274005, 195249, 195101, 231272058, 6324764, 323738483, 4769011, 123855054, 4881922, 4908252, 
