Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
svpv_isort_qsort,1102976011,27478,3887745,110640272,71629, 11157, 49582, 8166, 26152, 12942, 12719, 7094644, 1939744, 8323529, 1369539, 3449492, 2383501, 2653764, 200390857, 47070669, 245826334, 39639562, 95991638, 72804854, 72757994, 
svpv_isort_qsort ALIGNED ,1096362949,23181,3826110,110478143,41816, 11068, 49091, 8122, 26107, 13478, 12585, 6948151, 1623848, 8710050, 1307729, 3442128, 2376844, 2374017, 199845942, 47119760, 246120883, 39511924, 95244109, 72724075, 72780308, 
svpv_isort_qsort,1117391495,23366,3910861,112463350,42888, 11112, 49314, 8256, 26241, 12897, 12852, 6967601, 1948670, 8342125, 1821218, 3483261, 2400832, 2412324, 199710271, 47735635, 249765253, 40892286, 102390040, 73431885, 73318083, 
svpv_isort_qsort ALIGNED ,1096586528,23449,3781609,111041419,41683, 11246, 49493, 8077, 26955, 13209, 13477, 6973328, 1627902, 8311963, 1312824, 3472104, 2407191, 2365947, 200557322, 47402705, 247216961, 39761398, 95917555, 73155188, 73278809, 
svpv_isort_qsort,1114638350,27465,3948668,111575368,71628, 10978, 49403, 8166, 26241, 12986, 12853, 7922542, 1928215, 8271351, 1321564, 3443839, 2387332, 2365835, 199482665, 47549534, 253412302, 39459262, 95741272, 72664273, 72718274, 
svpv_isort_qsort ALIGNED ,1104486246,23187,3910660,110623951,41549, 11112, 49493, 8167, 26419, 12897, 12674, 7926223, 1617451, 8289723, 1308845, 3456484, 2387220, 2388671, 199907529, 47163942, 245500099, 39536470, 95520807, 73414480, 73324330, 
svpv_isort_qsort,1096928847,25527,3816042,110656338,57704, 11067, 49850, 8211, 25840, 13254, 12763, 6961762, 1930893, 8291286, 1326547, 3451798, 2388819, 2361187, 200765291, 46892154, 245910682, 39441857, 95416376, 73303801, 72864210, 
svpv_isort_qsort ALIGNED ,1092727060,23143,3767620,110660992,41683, 11067, 49359, 8167, 26241, 12808, 12674, 6963027, 1612022, 8282137, 1310109, 3439823, 2388410, 2377811, 199728122, 48495660, 245799111, 39768985, 95481087, 72586173, 72767812, 
svpv_isort_qsort,1107379064,23302,3844694,111827648,42084, 11201, 49537, 8211, 26330, 12986, 12763, 7137525, 1934760, 8290727, 1333167, 3449157, 2392873, 2374650, 207358719, 47247844, 246513169, 39576635, 95613635, 73159651, 73323884, 
svpv_isort_qsort ALIGNED ,1093996297,23423,3776285,110735522,42441, 11603, 49850, 8479, 26196, 12853, 12540, 6966597, 1620538, 8299802, 1317584, 3455592, 2389563, 2384319, 200335964, 47424573, 246066436, 39645810, 95610510, 73009252, 73056113, 
